,0,1
127,"['IRM', 2019]",0.026824859001699557
128,"['ISRG', 2018]",0.047994638005529555
129,"['ISRG', 2019]",0.043433241906524346
130,"['IT', 2018]",0.022913767107399674
131,"['IT', 2019]",0.023307903692758234
132,"['ITW', 2018]",0.02086300907000934
133,"['ITW', 2019]",0.02352327375011342
134,"['IVZ', 2018]",0.03196534068530918
135,"['IVZ', 2019]",0.030612561947521322
136,"['JBHT', 2018]",0.05883142147984168
137,"['JBHT', 2019]",0.05713805562557768
138,"['JCI', 2018]",0.026469976636942987
139,"['JEC', 2018]",0.034212743315745135
140,"['JNJ', 2018]",0.03151641008025482
141,"['JNJ', 2019]",0.027727498756837395
142,"['JNPR', 2018]",0.03706578514811703
143,"['JNPR', 2019]",0.036295876889794056
144,"['JPM', 2018]",0.01602911498605474
