,cosine,dates,format_change?,sentiment_d,date_delta
COST,0.9716731125718748,"['2018-10-26', '2017-10-18']",0,-0.06851958655481026,-4
COTY,0.09076389814810505,"['2019-08-28', '2018-08-21']",1,0.2564540668132028,-3
CCI,0.9837790594584868,"['2019-02-25', '2018-02-26']",0,0.5118714012662844,3
CSRA,0.9574979784088422,"['2017-05-25', '2016-05-27']",0,-0.01828296226708162,4
CSX,0.9953131438985616,"['2019-02-06', '2018-02-07']",0,-0.061806829288956165,3
CMI,1.0000000000000027,"['2019-02-11', '2018-02-14']",0,0.0,5
CVS,0.8426679330926578,"['2019-02-28', '2018-02-14']",0,-0.011852822109162435,-8
DHI,0.9851782781687815,"['2018-11-16', '2017-11-15']",0,-0.04867473517542196,1
DHR,0.9932158700233846,"['2019-02-21', '2018-02-21']",0,0.042323043608457345,2
DRI,0.09414351277078073,"['2019-07-19', '2018-07-20']",1,-0.00010418137452709503,3
DVA,0.08465246287820427,"['2019-02-22', '2018-02-23']",1,0.5864516482739789,3
DE,0.9957006250193163,"['2018-12-17', '2017-12-18']",0,0.07717527824929464,3
DAL,1.0000000000000027,"['2019-02-15', '2018-02-23']",0,0.0,8
XRAY,0.08262564247690042,"['2019-03-08', '2018-03-15']",1,-0.056678309293027966,7
DVN,0.08248860846107801,"['2019-02-20', '2018-02-21']",1,0.4861942004073023,3
DLR,0.9964676000204737,"['2019-02-25', '2018-03-01']",0,-0.013432956897326797,6
DFS,0.9967890892123917,"['2019-02-20', '2018-02-21']",0,0.043846102585204896,3
DISCA,0.98363348558737,"['2019-03-01', '2018-02-28']",0,0.1139755215764132,1
DISCK,0.98363348558737,"['2019-03-01', '2018-02-28']",0,0.1139755215764132,1
DISH,0.9941713000225562,"['2019-02-13', '2018-02-21']",0,-0.012986098056450422,8
DG,0.9940086846291792,"['2019-03-22', '2018-03-23']",0,0.001113862053650684,3
DLTR,0.941847358937709,"['2019-03-27', '2018-03-26']",0,-0.12445121073078262,1
D,0.9940283813913587,"['2019-02-28', '2018-02-27']",0,0.0009282420405373276,1
DOV,0.08502420671103691,"['2019-02-15', '2018-02-16']",1,0.21112033207137826,3
DTE,0.9984558442402595,"['2019-02-07', '2018-02-16']",0,0.04492150956895675,9
DUK,0.9886854840634883,"['2019-02-28', '2018-02-23']",0,0.05108487121839855,-1
DRE,0.9973014945440463,"['2019-02-22', '2018-02-16']",0,-0.07736906726643199,-2
DXC,0.9816833868856212,"['2019-06-13', '2018-05-29']",0,-0.12151678322812437,-9
EMN,0.9928836613396862,"['2019-02-27', '2018-03-01']",0,0.009884430315651631,4
ETN,0.9902376787529811,"['2019-02-27', '2018-02-28']",0,0.0945896095318512,3
EBAY,1.0000000000000027,"['2019-01-30', '2018-02-05']",0,0.0,6
ECL,0.9915293506841859,"['2019-03-01', '2018-02-23']",0,0.029257984770765893,-2
EIX,0.9904669638790699,"['2019-02-28', '2018-02-22']",0,0.0736839549087333,-2
EW,0.9941561823254822,"['2019-02-15', '2018-02-16']",0,0.022279099306511466,3
EA,0.979463868203966,"['2019-05-24', '2018-05-23']",0,0.046406484037366164,1
EMR,0.986903153149817,"['2018-11-19', '2017-11-20']",0,0.38795567484177823,3
ETR,0.9971173802197514,"['2019-02-26', '2018-02-26']",0,0.07703346163199998,2
EOG,0.9969810310779198,"['2019-02-26', '2018-02-27']",0,-0.24830043509077016,3
EFX,0.9885892072037087,"['2019-02-21', '2018-03-01']",0,-0.020737793214691866,8
EQIX,0.9909269055982068,"['2019-02-22', '2018-02-26']",0,-0.061717955752261154,4
EQR,0.996948454867719,"['2019-02-21', '2018-02-22']",0,0.08474518517833952,3
ESS,0.9976811174588848,"['2019-02-21', '2018-02-22']",0,-0.06786900970860417,3
EL,0.9915398023056535,"['2019-08-23', '2018-08-24']",0,0.011347215132212766,3
RE,0.9982784509889627,"['2019-03-01', '2018-03-01']",0,0.04793237366449279,2
ES,0.9934270659223076,"['2019-02-26', '2018-02-26']",0,0.11592249455605065,2
EXC,0.9922430176727906,"['2019-02-08', '2018-02-09']",0,-0.09494955521209564,3
EXPD,0.9955952170961331,"['2019-02-22', '2018-02-23']",0,0.043334970848765454,3
ESRX,0.9793201942003823,"['2018-02-27', '2017-02-14']",0,-0.1857512889606786,-7
EXR,0.9967164507580416,"['2019-02-26', '2018-03-01']",0,0.04329345723720031,5
XOM,0.9962099873196111,"['2019-02-27', '2018-02-28']",0,-0.1813611102900449,3
FFIV,0.9918957389175719,"['2018-11-21', '2017-11-03']",0,-0.02625635786077169,-10
FB,0.9906709263671173,"['2019-01-31', '2018-02-01']",0,-0.11415568789460712,3
FAST,0.9923335077860158,"['2019-02-06', '2018-02-05']",0,-0.010538379069691767,1
FRT,0.994102537009322,"['2019-02-13', '2018-02-13']",0,0.03533888414124209,2
FIS,0.983483655621661,"['2019-02-21', '2018-02-22']",0,0.1587668422475323,3
FITB,0.9955453307129993,"['2019-03-01', '2018-02-28']",0,0.011267464924114642,1
FISV,0.9638730463962863,"['2019-02-21', '2018-02-22']",0,0.08275050921587664,3
FLIR,0.9793462769495473,"['2019-02-28', '2018-02-23']",0,0.004337359830867185,-1
FLR,0.993022617028081,"['2019-02-21', '2018-02-20']",0,-0.07190800548309591,1
FMC,0.9873089612021865,"['2019-02-28', '2018-02-28']",0,-0.02892005562397924,2
FL,0.9874899353950984,"['2019-04-02', '2018-03-29']",0,0.05335013621213781,0
F,0.36269333792122,"['2019-02-21', '2018-03-28']",0,0.16679940599020374,27
FTV,0.09334324333206272,"['2019-02-28', '2018-02-28']",1,0.23011287141850106,2
FBHS,0.9901762914691058,"['2019-02-25', '2018-02-28']",0,0.03265955464601239,5
BEN,0.9834086255314543,"['2018-11-09', '2017-11-13']",0,-0.0627863369681671,4
FCX,0.9922609636002958,"['2019-02-15', '2018-02-20']",0,0.1429235538715568,5
