,cosine,dates,format_change,sentiment_d,date_delta
AT,0.9948872496958721,"['2019-02-28', '2018-03-01']",0,0.04540990871453157,3
ATO,0.9876610166611077,"['2018-11-13', '2017-11-13']",0,0.002763498175695283,2
ALV,0.9664591571312346,"['2019-02-21', '2018-02-22']",0,-0.06219681760618537,3
AN,0.09514655251759847,"['2019-02-22', '2018-02-15']",1,0.3572589238251051,-3
AZO,0.9857001071039095,"['2018-10-24', '2017-10-25']",0,-0.03543264809398782,3
AGR,0.9835270314414513,"['2019-03-01', '2018-03-26']",0,0.09431241236955155,19
AVNS,0.9764521380783336,"['2019-02-26', '2018-02-27']",0,-0.06609870166605397,3
AVY,0.9912875391697694,"['2019-02-27', '2018-02-21']",0,0.0960194080010341,-2
AVA,0.9913712135139948,"['2019-02-20', '2018-02-21']",0,-0.0446851150698319,3
AVP,0.9832314295228554,"['2019-02-21', '2018-02-22']",0,0.10011102812493798,3
AVX,0.9870972761996651,"['2019-05-17', '2018-05-18']",0,0.10951763163015518,3
AXTA,0.08285706893289178,"['2019-02-26', '2018-02-22']",1,0.12424532920183909,0
AXS,0.9963248906998593,"['2019-02-26', '2018-02-28']",0,0.01786348112547819,4
AX,1.0000000000000027,"['2019-08-28', '2018-08-23']",0,0.0,-1
AZZ,0.9758606094290551,"['2019-05-17', '2018-05-15']",0,0.06651904167359332,0
BGS,0.991352119014652,"['2019-02-26', '2018-03-01']",0,0.15742183525793663,5
BMI,0.9872358888059677,"['2019-02-26', '2018-03-01']",0,0.10867371071059813,5
BCSF,0.9796930253207549,"['2019-02-28', '2018-03-16']",0,0.025991273551414965,14
BHGE,0.9896157187553489,"['2019-02-19', '2018-02-23']",0,-0.007596118104012392,6
BLL,0.9918638400009545,"['2019-02-22', '2018-03-01']",0,-0.07436188187964769,7
BANC,0.9962290407748732,"['2019-03-01', '2018-02-28']",0,-0.012942519769004623,1
BAC,0.0787381306496147,"['2019-02-26', '2018-02-22']",1,-0.1679537721652555,0
BOH,0.9977056431138807,"['2019-03-01', '2018-02-28']",0,0.009469941809155377,1
BK,0.9965185942115835,"['2019-02-27', '2018-02-28']",0,-0.19033437529679237,3
BNS,0.9992295559577515,"['2019-01-29', '2018-01-26']",0,0.0,1
BKU,0.9946705992299871,"['2019-02-27', '2018-03-01']",0,-0.003631475615282572,4
BBDC,0.932187576614588,"['2019-02-27', '2018-02-28']",0,-0.06521457960226455,3
BKS,0.9834997597174462,"['2019-06-19', '2018-06-21']",0,-0.028757023343500523,4
B,0.9897440305007805,"['2019-02-26', '2018-02-20']",0,0.039665137680063585,-2
BAS,0.0877474463684563,"['2019-03-05', '2018-02-28']",1,0.028927508501983376,-1
BHC,0.9854673645193915,"['2019-02-20', '2018-02-28']",0,-0.017068933377883122,8
BAX,0.9949368378211664,"['2019-02-21', '2018-02-23']",0,0.10521583917731157,4
BBT,0.9853052441420356,"['2019-02-26', '2018-02-21']",0,-0.03673565981166798,-1
BBX,0.9894878623833334,"['2019-03-12', '2018-03-09']",0,-0.15461765744224437,1
BZH,0.9939054158848699,"['2018-11-13', '2017-11-14']",0,0.019060278233757263,3
BDX,0.9798652499959362,"['2018-11-21', '2017-11-22']",0,-0.03857249089592708,3
BDC,0.991569967677894,"['2019-02-20', '2018-02-13']",0,-0.004143205590189628,-3
BHE,0.9928520837223757,"['2019-02-28', '2018-03-01']",0,-0.054255391771716704,3
BHLB,0.9954890505457574,"['2019-03-01', '2018-03-01']",0,-0.039192126643963064,2
BERY,0.990557939737983,"['2018-11-16', '2017-11-21']",0,0.16769401956122437,5
BBY,0.9828862266233391,"['2019-03-28', '2018-04-02']",0,0.05800297598375264,5
BIG,0.9920701257516865,"['2019-04-02', '2018-04-03']",0,0.03077968909083125,3
BHVN,0.0907482881942399,"['2019-02-28', '2018-03-06']",1,-0.05375867522201631,6
BIO,0.0672583435191721,"['2019-04-01', '2018-04-26']",1,2.5197078306628375,21
BKH,0.9930402301315086,"['2019-02-19', '2018-02-26']",0,0.17779920476288458,7
BSM,0.9916457835339009,"['2019-02-26', '2018-02-28']",0,-0.03373709995332914,4
BLK,0.9939937810113062,"['2019-02-28', '2018-02-28']",0,0.08427407568125583,2
APRN,0.994893580979001,"['2019-02-25', '2018-02-22']",0,-0.06733625421963899,1
BCRH,0.9946566963339806,"['2019-03-01', '2018-02-23']",0,0.10279700721536249,-2
BXC,1.0000000000000027,"['2019-03-13', '2018-03-01']",0,0.0,-6
BA,0.0916551185079325,"['2019-02-08', '2018-02-12']",1,0.20179779409333648,4
BCC,0.990702911380633,"['2019-02-26', '2018-02-26']",0,-0.0374738608552378,2
BCEI,0.9925359158731871,"['2019-02-28', '2018-03-15']",0,0.033091597449471016,13
BOOT,0.9929313083182413,"['2019-05-24', '2018-05-16']",0,0.016273418201878987,-4
BAH,0.9914250500933804,"['2019-05-28', '2018-05-29']",0,0.03665945387755496,3
SAM,0.996097888766545,"['2019-02-20', '2018-02-21']",0,-0.06744679387976861,3
BXP,0.9949260439650658,"['2019-02-28', '2018-02-28']",0,0.04856945901224667,2
