,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
ALXN,https://www.sec.gov//Archives/edgar/data/899866/000089986619000010/alxn10k12312018.htm,https://www.sec.gov//Archives/edgar/data/899866/000089986618000022/alxn10k12312017.htm,https://www.sec.gov//Archives/edgar/data/899866/000089986617000044/alxn10k12312016.htm,https://www.sec.gov//Archives/edgar/data/899866/000089986617000012/alxn10ka12312015.htm,https://www.sec.gov//Archives/edgar/data/899866/000089986616000226/alxn10k12312015.htm,https://www.sec.gov//Archives/edgar/data/899866/000089986615000016/alxn10k12312014.htm,https://www.sec.gov//Archives/edgar/data/899866/000089986614000034/alxn10k12312013.htm,https://www.sec.gov//Archives/edgar/data/899866/000089986613000060/alxn10k12312012.htm,https://www.sec.gov//Archives/edgar/data/899866/000144530512000363/alxn10k.htm,https://www.sec.gov//Archives/edgar/data/899866/000119312511039250/d10k.htm,,,,,,,,
ALGN,https://www.sec.gov//Archives/edgar/data/1097149/000109714919000009/algn-20181231x10k.htm,https://www.sec.gov//Archives/edgar/data/1097149/000109714918000010/algn-20171231x10k.htm,https://www.sec.gov//Archives/edgar/data/1097149/000109714917000009/algn-20161231x10k.htm,https://www.sec.gov//Archives/edgar/data/1097149/000109714916000031/algn-20151231x10k.htm,https://www.sec.gov//Archives/edgar/data/1097149/000109714915000005/algn-20141231x10k.htm,https://www.sec.gov//Archives/edgar/data/1097149/000144530514000789/algn-20131231x10k.htm,https://www.sec.gov//Archives/edgar/data/1097149/000109714913000007/algn-20121231x10k.htm,https://www.sec.gov//Archives/edgar/data/1097149/000119312512089395/d265005d10k.htm,https://www.sec.gov//Archives/edgar/data/1097149/000119312511044951/d10k.htm,,,,,,,,,
ALLE,https://www.sec.gov//Archives/edgar/data/1579241/000157924119000006/alle10k12312018doc.htm,https://www.sec.gov//Archives/edgar/data/1579241/000157924118000007/alle10k12312017doc.htm,https://www.sec.gov//Archives/edgar/data/1579241/000157924117000009/alle10k12312016doc.htm,https://www.sec.gov//Archives/edgar/data/1579241/000157924116000056/alle-10kx12312015doc.htm,https://www.sec.gov//Archives/edgar/data/1579241/000157924115000005/alle-10kx12312014doc.htm,,,,,,,,,,,,,
AGN,https://www.sec.gov//Archives/edgar/data/1578845/000156459019003111/agn-10k_20181231.htm,https://www.sec.gov//Archives/edgar/data/1578845/000156459018002345/agn-10k_20171231.htm,https://www.sec.gov//Archives/edgar/data/1578845/000156459017002433/agn-10k_20161231.htm,https://www.sec.gov//Archives/edgar/data/1578845/000156459016013478/agn-10k_20151231.htm,https://www.sec.gov//Archives/edgar/data/1578845/000119312515052898/d842874d10k.htm,https://www.sec.gov//Archives/edgar/data/1578845/000119312514066242/d648811d10k.htm,,,,,,,,,,,,
ADS,https://www.sec.gov//Archives/edgar/data/1101215/000110121519000048/ads-20181231x10k.htm,https://www.sec.gov//Archives/edgar/data/1101215/000110121518000066/ads-20171231x10k.htm,https://www.sec.gov//Archives/edgar/data/1101215/000110121517000063/ads-20161231x10k.htm,https://www.sec.gov//Archives/edgar/data/1101215/000110121516000312/form_10k.htm,https://www.sec.gov//Archives/edgar/data/1101215/000110121515000063/form_10k.htm,https://www.sec.gov//Archives/edgar/data/1101215/000110121514000058/form10k.htm,https://www.sec.gov//Archives/edgar/data/1101215/000110121513000051/form10k.htm,https://www.sec.gov//Archives/edgar/data/1101215/000110121512000046/form10k.htm,https://www.sec.gov//Archives/edgar/data/1101215/000114036111012449/form10k.htm,,,,,,,,,
LNT,https://www.sec.gov//Archives/edgar/data/52485/000035254119000013/lnt1231201810-k.htm,https://www.sec.gov//Archives/edgar/data/52485/000035254118000019/lnt1231201710-k.htm,https://www.sec.gov//Archives/edgar/data/52485/000035254117000017/lnt1231201610-k.htm,https://www.sec.gov//Archives/edgar/data/52485/000035254116000076/lnt1231201510-k.htm,https://www.sec.gov//Archives/edgar/data/52485/000035254115000005/lnt1231201410-k.htm,https://www.sec.gov//Archives/edgar/data/52485/000035254114000006/lnt1231201310-k.htm,https://www.sec.gov//Archives/edgar/data/52485/000035254113000007/lnt1231201210-k.htm,https://www.sec.gov//Archives/edgar/data/52485/000119312512081622/d258440d10k.htm,https://www.sec.gov//Archives/edgar/data/52485/000119312511049662/d10k.htm,,,,,,,,,
ALL,https://www.sec.gov//Archives/edgar/data/899051/000089905119000007/allcorp-12311810xk.htm,https://www.sec.gov//Archives/edgar/data/899051/000089905118000007/allcorp-12311710xk.htm,https://www.sec.gov//Archives/edgar/data/899051/000089905117000005/allcorp-12311610xk.htm,https://www.sec.gov//Archives/edgar/data/899051/000089905116000040/allcorp-12311510xk.htm,https://www.sec.gov//Archives/edgar/data/899051/000104746915000935/a2223004z10-k.htm,https://www.sec.gov//Archives/edgar/data/899051/000104746914001083/a2218256z10-k.htm,https://www.sec.gov//Archives/edgar/data/899051/000104746913001288/a2212802z10-k.htm,https://www.sec.gov//Archives/edgar/data/899051/000104746912001250/a2207294z10-k.htm,https://www.sec.gov//Archives/edgar/data/899051/000104746911001286/a2202090z10-k.htm,https://www.sec.gov//Archives/edgar/data/899051/000104746910001355/a2196655z10-k.htm,,,,,,,,
GOOG,https://www.sec.gov//Archives/edgar/data/1652044/000165204419000004/goog10-kq42018.htm,https://www.sec.gov//Archives/edgar/data/1652044/000165204418000007/goog10-kq42017.htm,https://www.sec.gov//Archives/edgar/data/1652044/000165204417000008/goog10-kq42016.htm,https://www.sec.gov//Archives/edgar/data/1288776/000165204416000012/goog10-k2015.htm,,,,,,,,,,,,,,
MO,https://www.sec.gov//Archives/edgar/data/764180/000076418019000023/a2018form10-kq4.htm,https://www.sec.gov//Archives/edgar/data/764180/000076418018000028/a2017form10-kq4.htm,https://www.sec.gov//Archives/edgar/data/764180/000076418017000028/a2016form10-k.htm,https://www.sec.gov//Archives/edgar/data/764180/000076418016000128/a2015form10-k.htm,https://www.sec.gov//Archives/edgar/data/764180/000076418015000022/a2014form10-kq42014.htm,https://www.sec.gov//Archives/edgar/data/764180/000076418014000025/a2013form10-kq42013.htm,https://www.sec.gov//Archives/edgar/data/764180/000076418013000024/form10k.htm,https://www.sec.gov//Archives/edgar/data/764180/000119312512064660/d239844d10k.htm,https://www.sec.gov//Archives/edgar/data/764180/000119312511045778/d10k.htm,https://www.sec.gov//Archives/edgar/data/764180/000119312510039027/d10k.htm,,,,,,,,
AMZN,https://www.sec.gov//Archives/edgar/data/1018724/000101872419000004/amzn-20181231x10k.htm,https://www.sec.gov//Archives/edgar/data/1018724/000101872418000005/amzn-20171231x10k.htm,https://www.sec.gov//Archives/edgar/data/1018724/000101872417000011/amzn-20161231x10k.htm,https://www.sec.gov//Archives/edgar/data/1018724/000101872416000172/amzn-20151231x10k.htm,https://www.sec.gov//Archives/edgar/data/1018724/000101872415000006/amzn-20141231x10k.htm,https://www.sec.gov//Archives/edgar/data/1018724/000101872414000006/amzn-20131231x10k.htm,https://www.sec.gov//Archives/edgar/data/1018724/000119312513028520/d445434d10k.htm,https://www.sec.gov//Archives/edgar/data/1018724/000119312512032846/d269317d10k.htm,https://www.sec.gov//Archives/edgar/data/1018724/000119312511016253/d10k.htm,https://www.sec.gov//Archives/edgar/data/1018724/000119312510016098/d10k.htm,,,,,,,,
