,cosine,dates,format_change,sentiment_d,date_delta
AJRD,0.9218593735079851,"['2019-02-19', '2018-03-13']",0,0.059909209275392845,18
AJX,0.9948952738710302,"['2019-03-06', '2018-03-08']",0,0.04731097328781723,4
AKAM,0.9875833376706915,"['2019-02-28', '2018-03-01']",0,0.027274520409819415,3
AKBA,0.9516368811000347,"['2019-03-26', '2018-03-12']",0,0.10349392427580467,-8
AKCA,0.9177570005547707,"['2019-03-01', '2018-02-28']",0,-0.0629603946584686,1
AKR,0.9956145325584188,"['2019-02-19', '2018-02-27']",0,0.08964076639541936,8
AKRX,0.9328047088005146,"['2019-03-01', '2018-02-28']",0,0.3240641120677325,1
AKS,1.0000000000000027,"['2019-02-15', '2018-02-15']",0,0.0,2
AKTX,0.8681811232779442,"['2016-03-23', '2015-02-11']",0,0.09380843107726383,-27
AL,0.991682022357766,"['2019-02-21', '2018-02-22']",0,-0.019104661783349484,3
ALB,0.9923670225315786,"['2019-02-27', '2018-02-28']",0,-0.023386154676382404,3
ALBO,0.9764172089443575,"['2019-03-06', '2018-03-27']",0,0.015533463672799185,17
ALDR,0.9772640995819568,"['2019-02-25', '2018-02-26']",0,0.10682304733490189,3
ALDX,0.9810613635669639,"['2019-03-08', '2018-03-29']",0,-0.03313376236690231,17
ALE,0.9941034022371424,"['2019-02-14', '2018-02-15']",0,0.040526651527081674,3
ALEX,0.9861074314095019,"['2019-02-28', '2018-03-01']",0,0.08025878121554478,3
ALG,0.09132576808133755,"['2019-03-01', '2018-03-01']",1,0.12239083994870605,2
ALGN,0.9840344909889248,"['2019-02-28', '2018-02-28']",0,-0.06339079767054587,2
ALIM,0.9786107882406193,"['2019-02-25', '2018-03-02']",0,0.031924388845831105,7
ALK,0.9833890232347929,"['2019-02-15', '2018-02-15']",0,-0.028204164555151644,2
ALKS,0.9892138061576106,"['2019-02-15', '2018-02-16']",0,-0.14172444323277017,3
ALL,0.9971871993261499,"['2019-02-15', '2018-02-26']",0,0.027148972110024806,9
ALLE,0.9909380888902701,"['2019-02-19', '2018-02-20']",0,0.0435142796076631,3
ALLY,0.9952131727757306,"['2019-02-20', '2018-02-21']",0,0.048798408382364565,3
ALNA,0.9641423531131776,"['2019-03-07', '2018-03-27']",0,0.002365616875690382,16
ALNY,0.9666462641782437,"['2019-02-14', '2018-02-15']",0,-0.02705077211279199,3
ALOT,0.9922845605155043,"['2019-04-10', '2018-04-10']",0,0.0019265861206332754,2
ALPN,0.9640527723407065,"['2019-03-18', '2018-03-28']",0,-0.1654195816728367,10
ALRM,0.9915305385697356,"['2019-03-01', '2018-02-28']",0,0.0922431720385448,1
ALSN,0.9937100358514491,"['2019-02-26', '2018-02-15']",0,0.06393873126154802,-5
ALT,0.583767874482762,"['2019-04-01', '2018-04-30']",0,3.732435907232975,23
ALTR,0.9849436113368422,"['2019-03-01', '2018-03-21']",0,0.024923273782162064,16
ALV,0.9664591571312346,"['2019-02-21', '2018-02-22']",0,-0.06219681760618537,3
ALX,0.9891794339398958,"['2019-02-11', '2018-02-12']",0,0.07253380349472162,3
ALXN,0.9856644183960407,"['2019-02-06', '2018-02-08']",0,0.15204745032629347,4
AM,0.9743996555322249,"['2019-02-13', '2018-02-13']",0,-0.04363405260062712,2
AMAG,0.9668508833808533,"['2019-03-01', '2018-03-01']",0,-0.12191231448312666,2
AMAT,0.9956582727967839,"['2018-12-13', '2017-12-15']",0,-0.011722702265621584,4
AMBA,0.9915420997424644,"['2019-03-29', '2018-03-30']",0,0.03078805815113693,3
AMBC,0.9944178914712687,"['2019-02-28', '2018-02-28']",0,0.003918829508786008,2
AMBCW,0.9944178914712687,"['2019-02-28', '2018-02-28']",0,0.003918829508786008,2
AMC,0.990402565970691,"['2019-03-01', '2018-03-01']",0,-0.03546580092648808,2
AMCX,0.9916505325781773,"['2019-03-01', '2018-03-01']",0,0.0469144108958021,2
AMD,0.9797417801521585,"['2019-02-08', '2018-02-27']",0,-0.07254204442121788,15
AME,0.9905450367605918,"['2019-02-21', '2018-02-22']",0,0.0454879302475364,3
AMED,0.9890028358400991,"['2019-02-28', '2018-02-28']",0,0.23519389038560728,2
AMEH,0.9806305546976454,"['2019-03-18', '2018-04-02']",0,-0.03822956276463265,13
AMGN,0.990088049964412,"['2019-02-13', '2018-02-13']",0,0.03927025898541329,2
AMH,0.9959038358623679,"['2019-02-22', '2018-02-23']",0,0.0229004080870747,3
AMID,0.9715052520572812,"['2019-04-01', '2018-04-09']",0,0.27497456002136794,8
AMKR,0.9937103868340263,"['2019-02-22', '2018-02-23']",0,0.10845368570949393,3
AMN,0.9888560823086734,"['2019-02-21', '2018-02-16']",0,0.07163905411087952,-1
AMNB,0.9924408245446016,"['2019-03-08', '2018-03-09']",0,-0.06815219647355909,3
AMOT,0.9835642753017964,"['2019-03-13', '2018-03-14']",0,-0.011750821956018861,3
AMP,0.07910931671201088,"['2019-02-27', '2018-02-23']",1,-0.0035968815819156295,0
AMPH,0.9945195001531264,"['2019-03-15', '2018-03-14']",0,0.006381390660217109,1
AMRC,0.9827136728192982,"['2019-03-08', '2018-03-07']",0,-0.011238165262615306,1
AMRK,0.986569448963847,"['2019-09-16', '2018-09-19']",0,0.0373374635709127,5
AMRX,0.5737590169497808,"['2019-03-01', '2018-03-09']",0,-0.07027968898474961,8
AMSC,0.3287768940646731,"['2019-06-05', '2018-06-07']",0,-0.30136788271559917,4
AMSF,0.9991939204978171,"['2019-02-28', '2018-02-28']",0,-0.01429162211702008,2
AMSWA,0.9816488282727115,"['2019-07-15', '2018-07-13']",0,-0.19645862889540777,2
AMT,0.9919533220839988,"['2019-02-27', '2018-02-28']",0,0.04711395156401112,3
AMTD,0.9933273465244137,"['2018-11-16', '2017-11-17']",0,-0.037580082399872164,3
AMTX,0.5287579470661317,"['2019-03-15', '2018-04-20']",0,-0.5034833159818559,28
AMWD,0.9906352186396641,"['2019-06-28', '2018-06-29']",0,-0.04631063968139315,3
AMZN,0.9886891791586562,"['2019-02-01', '2018-02-02']",0,-0.038914220810914675,3
AN,0.09514655251759847,"['2019-02-22', '2018-02-15']",1,0.3572589238251051,-3
ANAT,0.9909977565702277,"['2019-02-28', '2018-02-28']",0,0.05301235557556022,2
ANDE,0.08250787881924328,"['2019-02-27', '2018-02-26']",1,0.5242206387089339,1
ANDX,0.9398821747333266,"['2019-02-28', '2018-02-21']",0,-0.09407467487078441,-3
ANET,0.9698263812448668,"['2019-02-15', '2018-02-20']",0,0.04820854769699555,5
ANF,0.9907528718389621,"['2019-04-01', '2018-04-02']",0,0.0606426582000153,3
ANGI,0.9852003049247796,"['2019-03-01', '2018-03-14']",0,0.14004366299580864,11
ANGO,0.9819649740520626,"['2019-07-25', '2018-07-23']",0,0.04069057606357779,0
ANH,0.9928223904826121,"['2019-02-28', '2018-02-28']",0,-0.017743418266430208,2
ANIK,0.9859914351606898,"['2019-02-27', '2018-02-27']",0,0.025240504388767147,2
ANIP,0.9866392362832023,"['2019-02-27', '2018-02-27']",0,0.14047604853468948,2
ANIX,0.9630400036276761,"['2019-01-11', '2018-01-09']",0,0.07525504076246325,0
ANSS,0.9898155350662455,"['2019-02-28', '2018-02-22']",0,0.037183675741739725,-2
ANTM,0.9936806551984328,"['2019-02-20', '2018-02-21']",0,-0.03940935327239211,3
ANY,0.9564011581296493,"['2019-04-01', '2018-03-21']",0,0.042049062828548665,-5
AOBC,0.9936230763310064,"['2019-06-19', '2018-06-20']",0,-0.03126836139869869,3
AON,0.992380118799694,"['2019-02-19', '2018-02-20']",0,0.06154120246837995,3
AOS,0.9910456250364875,"['2019-02-15', '2018-02-16']",0,0.0391426506689786,3
AOSL,0.9948010258788775,"['2019-08-23', '2018-08-23']",0,0.038297539160727305,2
AP,0.9696178905213558,"['2019-03-18', '2018-03-16']",0,-0.02442252378555464,2
APA,0.9863667421711387,"['2019-03-01', '2018-02-23']",0,-0.08194027692784686,-2
APAM,0.06302278829456186,"['2019-02-20', '2018-02-21']",1,1.2908231685015852,3
APC,0.9810144256166169,"['2019-02-14', '2018-02-15']",0,-0.030953424466885374,3
APD,0.0890887521524452,"['2018-11-20', '2017-11-16']",1,0.19678474284678685,0
APEI,0.9864615757161734,"['2019-03-12', '2018-02-27']",0,-0.18897296760176852,-7
APEX,0.9667758983718286,"['2019-04-23', '2018-04-19']",0,-0.10119620164666657,0
APH,0.9901579728943891,"['2019-02-13', '2018-02-21']",0,-0.0891093796513649,8
APO,0.98052858284081,"['2019-03-01', '2018-02-12']",0,-0.03114793461344852,-11
APOG,0.8437159810117579,"['2019-04-26', '2018-04-30']",0,-0.36109426310912135,4
APPF,0.984036477144294,"['2019-02-28', '2018-02-26']",0,-0.05338888516692362,0
APPN,0.1056596578365255,"['2019-02-21', '2018-02-23']",1,0.22218043811029578,4
APPS,0.9821397208711632,"['2019-06-03', '2018-06-12']",0,0.12645467066098118,9
APRN,0.994893580979001,"['2019-02-25', '2018-02-22']",0,-0.06733625421963899,1
APTS,0.9920363833765541,"['2019-03-01', '2018-03-01']",0,0.04009310320899905,2
APTV,0.9956801502710453,"['2019-02-04', '2018-02-05']",0,0.04291969161750277,3
APU,0.9965577634593447,"['2018-11-20', '2017-11-21']",0,0.027080734456219027,3
APYX,0.9324825330349364,"['2019-03-14', '2018-03-13']",0,-0.10996213611390324,1
AQB,0.9843838819748998,"['2019-03-07', '2018-03-08']",0,-0.06466238046862212,3
AQMS,0.9769282883181388,"['2019-02-28', '2018-03-15']",0,-0.07277994044292417,13
AQUA,0.9476145302537308,"['2018-12-11', '2017-12-04']",0,0.26738473076807445,-3
AR,0.9965262932031395,"['2019-02-13', '2018-02-13']",0,0.09830946506713345,2
ARAY,0.9934394240854417,"['2019-08-23', '2018-08-24']",0,-0.013390835778580164,3
ARC,0.9857060925811553,"['2019-03-06', '2018-03-05']",0,0.03220331325061723,1
ARCB,0.9923767942792362,"['2019-02-28', '2018-02-28']",0,0.07707385823779907,2
ARCC,0.9866773018553451,"['2019-02-12', '2018-02-13']",0,0.15940919444530832,3
ARCH,0.9942897412974907,"['2019-02-14', '2018-02-23']",0,-0.1315702596829209,9
ARDX,0.9877052270841954,"['2019-03-06', '2018-03-14']",0,0.09138986264796231,8
ARE,0.9914838907688303,"['2019-02-05', '2018-01-30']",0,0.016799751643477686,-2
ARES,0.9587738841033949,"['2019-02-26', '2018-03-01']",0,-0.042671798922072936,5
ARGO,0.9897876169005152,"['2019-02-26', '2018-02-27']",0,-0.04274485061256177,3
ARI,0.6608747137138811,"['2019-02-13', '2018-02-14']",0,-0.044077301650287656,3
ARKR,0.9557192035636963,"['2018-12-20', '2017-12-29']",0,-0.07248450794926121,9
ARL,0.9858560285034789,"['2019-04-01', '2018-04-02']",0,-0.00017105623486940558,3
ARLP,0.9838805524948835,"['2019-02-22', '2018-02-23']",0,-0.056698013988141185,3
ARMK,0.9869633440536467,"['2018-11-21', '2017-11-22']",0,0.11560045312472347,3
ARNA,0.9748760118541274,"['2019-02-28', '2018-03-14']",0,0.21026349710332382,12
ARNC,0.9877792066198836,"['2019-02-21', '2018-02-26']",0,-0.06180604431735501,5
AROC,0.9750072992545952,"['2019-02-20', '2018-02-22']",0,0.053046763875749456,4
AROW,0.9920625405645465,"['2019-03-08', '2018-03-12']",0,0.038736104253850004,4
ARQL,0.9698448987894334,"['2019-03-07', '2018-03-05']",0,-0.005821358755178185,0
ARR,0.06213862613870942,"['2019-02-14', '2018-02-14']",1,-0.07753564544585294,2
ARRY,0.30819657450836685,"['2018-08-14', '2017-09-08']",0,-347.6803563267713,21
ARTNA,0.9896521971056131,"['2019-03-15', '2018-03-15']",0,0.10402439767891092,2
ARTW,0.9822727146854903,"['2019-02-05', '2018-02-07']",0,-0.13148655537789455,4
ARTX,0.9813046972152866,"['2019-03-07', '2018-03-15']",0,-0.04708898970563917,8
ARW,0.07629750654208677,"['2019-02-07', '2018-02-06']",1,0.40081519666511767,1
ARWR,0.9732282373578041,"['2018-12-11', '2017-12-12']",0,-0.06746966544021966,3
ASB,1.0000000000000027,"['2019-02-19', '2018-02-06']",0,0.0,-7
ASGN,0.9583947442628458,"['2019-03-01', '2018-03-01']",0,-0.0813608324388138,2
ASH,0.9899697157521605,"['2018-11-19', '2017-11-20']",0,0.24263805371416447,3
ASIX,0.09695918425551653,"['2019-02-22', '2018-02-27']",1,0.3608868473766287,5
ASMB,0.9790066251961045,"['2019-02-28', '2018-03-08']",0,0.06507656907712293,8
ASNA,0.9822994504109959,"['2018-09-24', '2017-09-25']",0,0.03565046775994209,3
ASPN,0.9904286384033562,"['2019-03-08', '2018-03-01']",0,0.011887188006380094,-3
ASPS,0.9784868248839657,"['2019-02-26', '2018-02-22']",0,-0.09302578481000079,0
ASRT,0.980031839657479,"['2019-03-11', '2018-03-01']",0,-0.11791732537539612,-4
ASRV,0.9952518292814706,"['2019-03-05', '2018-03-02']",0,-0.005461847782940599,1
ASRVP,0.9952518292814706,"['2019-03-05', '2018-03-02']",0,-0.005461847782940599,1
ASTC,0.7409207681915017,"['2019-09-30', '2018-10-26']",0,0.21363478342463493,22
ASTE,0.9917834831152483,"['2019-03-18', '2018-03-01']",0,0.03457074820438191,-9
ASUR,0.9639294871867015,"['2019-03-19', '2018-03-16']",0,0.04355658476501114,1
AT,0.9948872496958721,"['2019-02-28', '2018-03-01']",0,0.04540990871453157,3
ATAX,0.9879574087113215,"['2019-02-28', '2018-02-28']",0,0.17285052710732554,2
ATEC,0.980297878463945,"['2019-03-29', '2018-03-09']",0,0.11041558089132474,-12
ATGE,0.9736321282229076,"['2019-08-28', '2018-08-24']",0,-0.05595040525559648,0
ATH,0.9931930636329723,"['2019-02-27', '2018-02-26']",0,-0.01232858165557395,1
ATHX,0.9830821111711667,"['2019-03-15', '2018-03-15']",0,0.11796129749708223,2
ATI,0.9898667648645019,"['2019-02-28', '2018-02-20']",0,0.07908648709261464,-4
ATLC,0.9935678618384373,"['2019-03-27', '2018-04-02']",0,0.039707986344675504,6
ATLO,0.9957988416199501,"['2019-03-12', '2018-03-12']",0,0.0548901649168272,2
ATNI,0.9894354948219185,"['2019-02-28', '2018-03-01']",0,-0.07338791614769846,3
ATNX,0.9841417885614168,"['2019-03-11', '2018-03-26']",0,-0.03193437492134614,13
ATO,0.9876610166611077,"['2018-11-13', '2017-11-13']",0,0.002763498175695283,2
ATOM,0.9736568845743246,"['2019-03-11', '2018-03-06']",0,0.10656053567780766,-1
ATOS,0.9658556315176383,"['2019-03-28', '2018-03-08']",0,0.03247186831953412,-12
ATR,0.9742828673269618,"['2019-02-21', '2018-02-26']",0,0.30771548178759894,5
ATRA,0.9553118488741921,"['2019-02-26', '2018-02-27']",0,0.02698404365236576,3
ATRC,0.9846670328981277,"['2019-03-01', '2018-02-28']",0,0.02258330671300102,1
ATRI,0.9776394542390395,"['2019-02-26', '2018-02-27']",0,0.015398283028896705,3
ATRO,0.08497364622244545,"['2019-03-01', '2018-03-01']",1,0.3875657435149325,2
ATRS,0.9882564303255544,"['2019-03-12', '2018-03-13']",0,-0.10358793027513215,3
ATU,0.980849951534347,"['2018-10-29', '2017-10-26']",0,-0.06109134521449695,1
ATVI,0.9906232988501631,"['2019-02-28', '2018-02-27']",0,0.06514514884793038,1
ATXI,0.986204779919798,"['2019-03-12', '2018-03-01']",0,-0.010650673536536943,-5
AUB,0.9937152106295565,"['2019-02-27', '2018-02-27']",0,-0.01686723268806279,2
AUBN,0.9952666557348464,"['2019-03-12', '2018-03-13']",0,0.0035803845351061116,3
AVA,0.9913712135139948,"['2019-02-20', '2018-02-21']",0,-0.0446851150698319,3
AVAV,0.9874415024680506,"['2019-06-26', '2018-06-27']",0,-0.04640948771268054,3
AVD,0.988723647523031,"['2019-03-12', '2018-03-14']",0,0.03433197918751179,4
AVID,0.9468271138321845,"['2019-03-15', '2018-03-16']",0,-0.08035639773257575,3
AVNS,0.9764521380783336,"['2019-02-26', '2018-02-27']",0,-0.06609870166605397,3
AVNW,0.9902771095117052,"['2019-08-27', '2018-08-28']",0,0.06246668522844818,3
AVP,0.9832314295228554,"['2019-02-21', '2018-02-22']",0,0.10011102812493798,3
AVT,0.9933280743324802,"['2019-08-15', '2018-08-17']",0,-0.05308845274775069,4
AVX,0.9870972761996651,"['2019-05-17', '2018-05-18']",0,0.10951763163015518,3
AVY,0.9912875391697694,"['2019-02-27', '2018-02-21']",0,0.0960194080010341,-2
AWK,0.9878979248054817,"['2019-02-19', '2018-02-20']",0,0.01051273666684661,3
AWR,0.9956692943732605,"['2019-02-25', '2018-02-26']",0,-0.21747483727417835,3
AWRE,0.9484478213891704,"['2019-02-19', '2018-02-28']",0,0.2627346339720505,9
AWSM,0.905206682169218,"['2019-04-16', '2018-03-08']",0,-0.13042992352200786,-25
AX,1.0000000000000027,"['2019-08-28', '2018-08-23']",0,0.0,-1
AXAS,0.9943151087869955,"['2019-03-15', '2018-03-16']",0,0.04658999426730321,3
AXDX,0.9732997564184467,"['2019-03-01', '2018-03-01']",0,-0.05343288318299152,2
AXE,0.9876088589509344,"['2019-02-21', '2018-02-22']",0,0.06242039015149832,3
AXGT,0.9667669954374496,"['2019-06-11', '2018-06-11']",0,-0.010660939293614106,2
AXL,0.9855935776029138,"['2019-02-15', '2018-02-16']",0,-0.05482719343654159,3
AXP,0.9835324074775278,"['2019-02-13', '2018-02-16']",0,0.006711548394305403,5
AXR,0.9424909340739384,"['2019-07-26', '2018-07-20']",0,-0.02954277910114655,-2
AXS,0.9963248906998593,"['2019-02-26', '2018-02-28']",0,0.01786348112547819,4
AXSM,0.992095391833922,"['2019-03-15', '2018-03-07']",0,0.008864778803730955,-4
