,Ticker,Year,Jaccard,Cosine
3443,SRE,2019.0,0.04878993223620523,0.1907606916194684
3444,SRE,2018.0,0.064847077042199,0.2273476614812742
3445,SRE,2009.0,0.1483402489626556,0.3271172310182775
3446,SRE,2008.0,0.28831103256753343,0.46919420646068877
3447,SRE,2017.0,0.8324445691832725,0.9086793163804332
3448,SRE,2016.0,0.8414376321353065,0.9152093219927275
3449,SRE,2015.0,0.8880373208930357,0.9408574111077862
3450,SRE,2014.0,0.8321489001692047,0.908725269146434
3451,SRE,2013.0,0.19411986430456088,0.4339152447565439
3452,SRE,2012.0,0.23270440251572327,0.4764913387331203
3453,SRE,2011.0,0.8999570631172177,0.9473458181231228
3454,STI,2019.0,0.05526963526515999,0.2014084352095752
3455,STI,2018.0,0.8889606197546804,0.9412237384893454
3456,STI,2017.0,0.9126065108149443,0.954327549372832
3457,STI,2016.0,0.8491080797481637,0.9184756927881145
3458,STI,2015.0,0.8721099770881067,0.9317088606612361
3459,STI,2014.0,0.8724489795918368,0.9319666054629292
3460,STI,2013.0,0.869626074785043,0.9302806812795915
3461,STI,2012.0,0.8148512901319677,0.8981643531722081
3462,STI,2011.0,0.7952595014303229,0.8862911898095924
3463,STT,2019.0,0.9090909090909091,0.9524135366996448
3464,STT,2018.0,0.9014267185473411,0.9481936479349369
3465,STT,2017.0,0.8960494372103288,0.9452817564674065
3466,STT,2016.0,0.9040598775232479,0.9496431092403566
3467,STT,2015.0,0.8688264612596285,0.929852316680433
3468,STT,2014.0,0.8428336851982172,0.9154463987739978
3469,STT,2013.0,0.8776689274051745,0.9348870530958238
3470,STT,2012.0,0.8821400878780047,0.9375201940864679
3471,STT,2011.0,0.8693812797461661,0.9301961190780107
3472,STX,2019.0,0.9152859433458044,0.955876033164656
3473,STX,2018.0,0.9355191256830601,0.9666910362696394
3474,STX,2017.0,0.9404371584699454,0.9693047672065291
3475,STX,2016.0,0.914431330472103,0.9553191124536933
3476,STX,2015.0,0.9143394199785178,0.9552757563718579
3477,STX,2014.0,0.9056603773584906,0.9504960002885635
