'WYY',
 'CDOR',
 'AAON',
 'AMSWA',
 'CWBC',
 'ALPN',
 'DISCK',
 'BANF',
 'EGOV',
 'FLXS',
 'CASY',
 'CBOE',
 'GSHD',
 'CIZN',
 'EOLS',
 'CHCI',
 'FANG',
 'DERM',
 'CIVB',
 'ADSK',
 'GPRO',
 'CVTI',
 'DISCB',
 'AXGN',
 'ARAY',
 'DZSI',
 'CYCCP',
 'BGNE',
 'AXGT',
 'ASRV',
 'CJJD',
 'HSII',
 'CEVA',
 'AGLE',
 'CBIO',
 'AQB',
 'AMCIU',
 'CHSCL',
 'BROGU',
 'AWRE',
 'CY',
 'CPRT',
 'ESXB',
 'CNET',
 'BROGR',
 'CLIR',
 'BHF',
 'CTRN',
 'ADUS',
 'CHCO',
 'FONR',
 'BKNG',
 'DBX',
 'CBLK',
 'HFBC',
 'AMED',
 'CRWS',
 'BPOP',
 'ESTR',
 'CHSCP',
 'CVCY',
 'FRTA',
 'AMTB',
 'BKSC',
 'FVE',
 'HALL',
 'ADBE',
 'ADMA',
 'AFH',
 'FLEX',
 'ARVN',
 'CCMP',
 'ALBO',
 'APPS',
 'CEMI',
 'DVAX',
 'DRNA',
 'ALT',
 'CIDM',
 'AMWD',
 'EFBI',
 'CVLT',
 'FCNCA',
 'ACRS',
 'BFIN',
 'APPF',
 'CSSE',
 'CELGZ',
 'HOOK',
 'HURC',
 'CLXT',
 'FUV',
 'AXSM',
 'CODA',
 'COKE',
 'EXPD',
 'FSBW',
 'BLIN',
 'ANGO',
 'DCOM',
 'DGII',
 'AIRT',
 'FITBI',
 'ABDC',
 'ATSG',
 'IART',
 'DRAD',
 'CONN',
 'AMRS',
 'FBIO',
 'AETI',
 'AGTC',
 'ALKS',
 'CAKE',
 'AIRG',
 'APPN',
 'AKRX',
 'ALNY',
 'CLRBW',
 'BPR',
 'HAIN',
 'EYEN',
 'DMLP',
 'FFIN',
 'ANDA',
 'FMCIU',
 'DGLY',
 'CCBG',
 'HTBX',
 'FBIZ',
 'FOSL',
 'AZPN',
 'AMTX',
 'ASFI',
 'AIQ',
 'FDEF'
